Room No.,building part,room number,room name,start time,end time,course name,participants,organisation,lecturer,course number
00.02.001,2,1,MI HS 1,8:30,10:00,Experimentalphysik 1,455,Lehrstuhl für Laser- und Röntgenphysik (Prof. Kienberger),"Kienberger, Reinhard; Prof. Dr. techn.",5
00.02.001,2,1,MI HS 1,10:15,11:45,Mathematik für Physiker 1 (Lineare Algebra) [MA9201],393,Zentrum Mathematik,"Viehmann, Eva; Prof. Dr.",240814149
00.02.001,2,1,MI HS 1,12:00,12:45,Analysis 1 [MA0001],232,Zentrum Mathematik,"Friesecke, Gero; Prof. Dr., Kruse, Hans-Peter; Dr. rer. nat.",3251
00.02.001,2,1,MI HS 1,12:45,13:30,Fragestunde zu Analysis 1 [MA0006],124,Zentrum Mathematik,"Friesecke, Gero; Prof. Dr., Kruse, Hans-Peter; Dr. rer. nat.",5325
00.02.001,2,1,MI HS 1,14:00,16:00,Introduction to Deep Learning (IN2346),1135,Informatik 15 - Lehrstuhl für Grafik und Visualisierung (Prof. Westermann),"Dai, Angela; Dr. Ph.D., Leal-Taixe, Laura; Prof. Dr.-Ing., Lohr, Quirin, Nießner, Matthias; Prof. Dr.-Ing., Rössler, Andreas; M.Sc., Wagner, Sabine",673
00.04.011,4,11,MI HS 2,9:45,12:15,Grundlagen der Programm- und Systementwicklung (IN2078),127,Informatik 4 - Lehrstuhl für Software & Systems Engineering (Prof. Pretschner),"Hutzelmann, Thomas; M.Sc., Rueß, Harald",821092563
00.04.011,4,11,MI HS 2,12:30,14:00,Rechnerarchitektur (IN2076),210,Informatik 10 - Lehrstuhl für Rechnerarchitektur & Parallele Systeme (Prof. Schulz),"Gerndt, Hans Michael; Prof. Dr.",240997826
00.04.011,4,11,MI HS 2,14:15,16:00,Informatikanwendungen in der Medizin (IN2021),124,Informatik 16 - Lehrstuhl für Anwendungen in der Medizin (Prof. Navab),"Eck, Ulrich; Dr. Ph.D., Kim, Seong Tae; Ph.D., Navab, Nassir; Prof. Ph.D., Zahnd, Guillaume; Dr. Ph.D.",240971481
00.04.011,4,11,MI HS 2,16:00,18:00,Statistical foundations of learning (IN2378),164,Informatik 7 - Lehrstuhl für Theoretische Informatik (Prof. Esparza),"Ghoshdastidar, Debarghya; Prof. Dr. Ph.D.",5372
00.04.038,4,38,Praktikumsraum Physik,8:30,12:30,Physikalisches Grundpraktikum für Lehramtstudiengänge,? (232m^2),Physik-Department,"Hauptner, Andreas, Kienberger, Reinhard; Prof. Dr. techn., Saß, Martin; Dr. rer. nat.",907
00.04.038,4,38,Praktikumsraum Physik,14:15,18:30,Physikalisches Grundpraktikum 2 für Bachelor in Gruppen,? (232m^2),Physik-Department,"Saß, Martin; Dr. rer. nat.",902
00.06.011,6,11,MI HS 3,10:15,11:45,Geometry and Topology for Data Analysis [MA4804],137,Zentrum Mathematik,"Bauer, Ulrich; Prof. Dr. rer. nat.",4916
00.06.011,6,11,MI HS 3,12:15,13:45,Fallstudien der Mathematischen Modellbildung [MA2902],71,Zentrum Mathematik,"Conache, Diana; Dr., Krahmer, Felix; Prof. Dr., Rolles, Silke; Prof. Dr., Wolf, Michael Marc; Prof. Dr.",220865112
00.06.011,6,11,MI HS 3,14:00,16:00,Analysis 1 LG [MA1005],57,Zentrum Mathematik,"Jaser, Miriam, Scherer, Matthias; Prof. Dr. rer. nat.",3970
00.06.011,6,11,MI HS 3,16:00,18:00,Lineare Algebra 1 LG [MA1105],66,Zentrum Mathematik,"Landgraf, Vanessa; Dr. rer. nat., Richter-Gebert, Jürgen; Prof. Dr. rer. nat.",4817
00.07.014,7,14,Übungsraum,8:30,10:00,Algebraic Topology [MA5121],53,Zentrum Mathematik,"Scheimbauer, Claudia; Prof. Dr.",5319
00.07.014,7,14,Übungsraum,10:15,11:45,Diskrete Flächentheorie [MA5229],15,Zentrum Mathematik,"Hoffmann, Tim Nikolai; Prof. Dr. rer. nat. habil.",3856
00.07.023,7,23,Rechnerraum,14:00,16:00,Programmierübungen zu Grundlagen: Betriebssysteme und Systemsoftware,?,Informatik 11 - Lehrstuhl für Connected Mobility (Prof. Ott),"Uhl, Martin; Dipl.-Inf. (Univ.)",5188
00.07.037,7,37,Rechnerraum,9:00,12:00,"Praktikum: Grundlagen der Programmierung (IN0002), Di, Mi",15,Informatik 2 - Lehrstuhl für Sprachen und Beschreibungsstrukturen in der Informatik (Prof. Seidl),"Erhard, Julian; M.Sc., Hagerer, Gerhard; M.Sc., Kynast, Erik; B.Sc.",240919840
00.07.037,7,37,Rechnerraum,15:30,18:30,"Praktikum: Grundlagen der Programmierung (IN0002), Di, Fr",16,Informatik 2 - Lehrstuhl für Sprachen und Beschreibungsstrukturen in der Informatik (Prof. Seidl),"Erhard, Julian; M.Sc., Hagerer, Gerhard; M.Sc., Kynast, Erik; B.Sc.",5339
00.08.036,8,36,Seminarraum,10:00,11:30,Übungen zu Grundlagen: Betriebssysteme und Systemsoftware (IN0009),24,Informatik 11 - Lehrstuhl für Connected Mobility (Prof. Ott),"Uhl, Martin; Dipl.-Inf. (Univ.)",52
00.08.036,8,36,Seminarraum,12:00,13:30,Übungen zu Grundlagen: Betriebssysteme und Systemsoftware (IN0009),24,Informatik 11 - Lehrstuhl für Connected Mobility (Prof. Ott),"Uhl, Martin; Dipl.-Inf. (Univ.)",52
00.08.036,8,36,Seminarraum,14:00,16:00,Übungen zu Grundlagen: Datenbanken (IN0008) Gruppen 1-25,20,Informatik 3 - Lehrstuhl für Datenbanksysteme (Prof. Kemper),"Sichert, Moritz-Felipe; M.Sc., Vogel, Lukas; M.Sc.",10
00.08.036,8,36,Seminarraum,16:00,18:00,Übungen zu Grundlagen: Datenbanken (IN0008) Gruppen 1-25,15,Informatik 3 - Lehrstuhl für Datenbanksysteme (Prof. Kemper),"Sichert, Moritz-Felipe; M.Sc., Vogel, Lukas; M.Sc.",10
00.08.038,8,38,Seminarraum,8:00,14:00,CIO Planspiel (IN2104),31,Informatik 17 - Lehrstuhl für Wirtschaftsinformatik und Geschäftsprozessmanagement (Prof. Rinderle-Ma),"Lurz, Martin; M.Sc.",240989266
00.08.038,8,38,Seminarraum,14:00,16:00,Übungen zu Effiziente Algorithmen und Datenstrukturen (IN2003),25,Informatik 14 - Lehrstuhl für Algorithmen und Komplexität (Prof. Albers),"Stotz, Richard",384
00.08.038,8,38,Seminarraum,16:00,18:30,CIO Planspiel (IN2104),31,Informatik 17 - Lehrstuhl für Wirtschaftsinformatik und Geschäftsprozessmanagement (Prof. Rinderle-Ma),"Hein, Andreas; Dr. rer. nat.",240989266
00.08.053,8,53,Seminarraum,10:00,12:00,Übungen zu Effiziente Algorithmen und Datenstrukturen (IN2003),19,Informatik 14 - Lehrstuhl für Algorithmen und Komplexität (Prof. Albers),"Stotz, Richard",384
00.08.053,8,53,Seminarraum,12:00,14:00,Übungen zu Grundlagen: Datenbanken (IN0008) Gruppen 1-25,28,Informatik 3 - Lehrstuhl für Datenbanksysteme (Prof. Kemper),"Sichert, Moritz-Felipe; M.Sc., Vogel, Lukas; M.Sc.",10
00.08.053,8,53,Seminarraum,14:00,16:00,Übungen zu Grundlagen: Datenbanken (IN0008) Gruppen 1-25,20,Informatik 3 - Lehrstuhl für Datenbanksysteme (Prof. Kemper),"Sichert, Moritz-Felipe; M.Sc., Vogel, Lukas; M.Sc.",10
00.08.053,8,53,Seminarraum,16:15,17:45,Übungen zu Diskrete Strukturen (IN0015) - 2 (Di),27,Informatik 18 - Lehrstuhl für Wirtschaftsinformatik und Entscheidungstheorie (Prof. Bichler),"Luttenberger, Michael; Prof. Dr. rer. nat. habil.",2409670902
00.08.055,8,55,Seminarraum,9:00,12:00,"Praktikum: Grundlagen der Programmierung (IN0002), Di, Mi",28,Informatik 2 - Lehrstuhl für Sprachen und Beschreibungsstrukturen in der Informatik (Prof. Seidl),"Erhard, Julian; M.Sc., Hagerer, Gerhard; M.Sc., Kynast, Erik; B.Sc.",240919840
00.08.059,8,59,Seminarraum,8:00,10:00,Übungen zu Grundlagen: Betriebssysteme und Systemsoftware (IN0009),6,Informatik 11 - Lehrstuhl für Connected Mobility (Prof. Ott),"Uhl, Martin; Dipl.-Inf. (Univ.)",52
00.08.059,8,59,Seminarraum,10:00,12:00,Übungen zu Grundlagen: Datenbanken (IN0008) Gruppen 1-25,30,Informatik 3 - Lehrstuhl für Datenbanksysteme (Prof. Kemper),"Sichert, Moritz-Felipe; M.Sc., Vogel, Lukas; M.Sc.",10
00.08.059,8,59,Seminarraum,12:00,14:00,Übungen zu Grundlagen: Datenbanken (IN0008) Gruppen 1-25,28,Informatik 3 - Lehrstuhl für Datenbanksysteme (Prof. Kemper),"Sichert, Moritz-Felipe; M.Sc., Vogel, Lukas; M.Sc.",10
00.08.059,8,59,Seminarraum,14:00,17:00,Virtuelle Physik: Moderne Modellierungstechnik und ihr Einsatz in der Computersimulation (IN2236),28,"Informatik 6 - Lehrstuhl für Robotik, Künstliche Intelligenz und Echtzeitsysteme (Prof. Knoll)","Zimmer, Dirk; Dr.",921
00.08.059,8,59,Seminarraum,17:00,19:00,Übung zu IT Sicherheit (IN2209),28,Informatik 20 - Lehrstuhl für Sicherheit in der Informatik (Prof. Eckert),"Franzen, Fabian; M.Sc.",2721
00.09.022,9,22,Übungsraum,8:00,10:00,Übungen zu Lineare Algebra 1 [MA0004],21,Zentrum Mathematik,"Mundelius, David; Dr. rer. nat.",5326
00.09.022,9,22,Übungsraum,10:15,11:45,Invariant Theory [MA5131],24,Zentrum Mathematik,"Kemper, Gregor; Prof. Dr. rer. nat. habil.",4422
00.09.022,9,22,Übungsraum,14:15,15:45,Übungen zu Numerik dynamischer Systeme [MA3333],13,Zentrum Mathematik,"Karrasch, Daniel; Dr. rer. nat.",3101
00.09.022,9,22,Übungsraum,16:00,17:00,Übungen zu Vektoranalysis [MA2004],11,Zentrum Mathematik,"Flad, Heinz-Jürgen; Dr. rer. nat., Warzel, Simone; Prof. Dr.",240853787
00.11.038,11,38,Seminarraum,10:00,12:00,Übungen zu Grundlagen: Betriebssysteme und Systemsoftware (IN0009),23,Informatik 11 - Lehrstuhl für Connected Mobility (Prof. Ott),"Uhl, Martin; Dipl.-Inf. (Univ.)",4057
00.11.038,11,38,Seminarraum,12:00,14:00,Übungen zu Grundlagen: Betriebssysteme und Systemsoftware (IN0009),14,Informatik 11 - Lehrstuhl für Connected Mobility (Prof. Ott),"Uhl, Martin; Dipl.-Inf. (Univ.)",4057
00.11.038,11,38,Seminarraum,16:00,19:00,"Praktikum: Grundlagen der Programmierung (IN0002), Di, Fr",28,Informatik 2 - Lehrstuhl für Sprachen und Beschreibungsstrukturen in der Informatik (Prof. Seidl),"Erhard, Julian; M.Sc., Hagerer, Gerhard; M.Sc., Kynast, Erik; B.Sc.",5339
00.13.008,13,8,Seminarraum,10:00,11:30,Übungen zu Grundlagen: Betriebssysteme und Systemsoftware (IN0009),27,Informatik 11 - Lehrstuhl für Connected Mobility (Prof. Ott),"Uhl, Martin; Dipl.-Inf. (Univ.)",52
00.13.008,13,8,Seminarraum,14:00,16:00,"Übungen zu Einführung in die Rechnerarchitektur - Gruppen Mo, Di, Mi (IN0004)",24,Informatik 10 - Lehrstuhl für Rechnerarchitektur & Parallele Systeme (Prof. Schulz),"Huseynli, Fariz; M.Sc., Schreiber, Martin; Dr. rer. nat.",149
00.13.008,13,8,Seminarraum,16:15,17:45,Übungen zu Diskrete Strukturen (IN0015) - 2 (Di),28,Informatik 18 - Lehrstuhl für Wirtschaftsinformatik und Entscheidungstheorie (Prof. Bichler),"Luttenberger, Michael; Prof. Dr. rer. nat. habil.",2409670902
00.13.010,13,10,Praktikumsraum,10:00,13:00,Einführung in Audio für Games (IN2338),15,Informatik 16 - Lehrstuhl für Anwendungen in der Medizin (Prof. Navab),"Liedtke, Sven; M.Sc.",1237
00.13.036,13,36,Seminarraum,10:00,11:30,Übungen zu Grundlagen: Betriebssysteme und Systemsoftware (IN0009),28,Informatik 11 - Lehrstuhl für Connected Mobility (Prof. Ott),"Uhl, Martin; Dipl.-Inf. (Univ.)",52
00.13.036,13,36,Seminarraum,12:00,15:00,Übungen zu Numerisches Programmieren (IN0019),24,Informatik 5 - Lehrstuhl für Wissenschaftliches Rechnen (Prof. Bungartz),"Obersteiner, Michael; M.Sc., Seckler, Steffen; (Hons) M.Sc.",724
00.13.054,13,54,Seminarraum,8:00,10:00,Übungen zu Diskrete Strukturen (IN0015) - 2 (Di),15,Informatik 18 - Lehrstuhl für Wirtschaftsinformatik und Entscheidungstheorie (Prof. Bichler),"Luttenberger, Michael; Prof. Dr. rer. nat. habil.",2409670902
00.13.054,13,54,Seminarraum,10:15,11:45,Übungen zu Diskrete Strukturen (IN0015) - 2 (Di),28,Informatik 18 - Lehrstuhl für Wirtschaftsinformatik und Entscheidungstheorie (Prof. Bichler),"Luttenberger, Michael; Prof. Dr. rer. nat. habil.",2409670902
00.13.054,13,54,Seminarraum,14:00,16:00,Übungen zu Lineare Algebra 1 [MA0004],22,Zentrum Mathematik,"Mundelius, David; Dr. rer. nat.",5326
00.13.054,13,54,Seminarraum,17:00,19:15,Übungen zu Informatik I für Ingenieurwissenschaften (MSE) (IN8011),23,Informatik 16 - Lehrstuhl für Anwendungen in der Medizin (Prof. Navab),"Menze, Björn; Prof. Dr. rer. nat., Shi, Kuangyu; PD Dr.-Ing.",946